Date,Price,Open,High,Low,Vol.,Change %
11-Apr-19,288.21,288.83,288.84,287.58,55.09M,-0.03%
10-Apr-19,288.29,287.77,288.39,287.31,52.60M,0.34%
9-Apr-19,287.31,287.72,288.08,286.7,66.14M,-0.51%
8-Apr-19,288.79,288.1,288.91,287.37,53.57M,0.08%
5-Apr-19,288.57,287.92,288.63,287.6,58.62M,0.48%
4-Apr-19,287.18,286.78,287.46,286.01,49.00M,0.27%
3-Apr-19,286.42,287.32,287.76,285.75,68.24M,0.16%
2-Apr-19,285.97,286.04,286.23,285.09,40.07M,0.05%
1-Apr-19,285.83,284.7,286.16,284.4,77.62M,1.19%
29-Mar-19,282.48,282.39,282.84,281.14,82.19M,0.63%
28-Mar-19,280.71,280.35,281.21,279.07,56.24M,0.38%
27-Mar-19,279.65,281.11,281.76,277.93,72.22M,-0.52%
26-Mar-19,281.12,280.99,282.18,279.56,68.13M,0.75%
25-Mar-19,279.04,278.87,280.19,277.64,85.58M,-0.08%
22-Mar-19,279.25,283.22,283.8,279.18,122.66M,-1.92%
21-Mar-19,284.73,280.64,285.18,280.59,79.55M,1.13%
20-Mar-19,281.55,282.16,283.5,280.32,84.61M,-0.30%
19-Mar-19,282.4,283.51,284.36,281.41,90.27M,0.02%
18-Mar-19,282.33,281.55,282.66,281.3,62.20M,0.36%
15-Mar-19,281.31,280.54,282.21,280.33,81.31M,0.05%
14-Mar-19,281.16,281.37,281.84,280.67,67.52M,-0.06%
13-Mar-19,281.34,280.48,282.38,280.3,80.64M,0.66%
12-Mar-19,279.49,279.06,280.07,278.85,79.67M,0.38%
11-Mar-19,278.44,275.26,278.62,275.23,65.10M,1.45%
8-Mar-19,274.46,272.94,274.65,272.42,85.80M,-0.20%
7-Mar-19,275.01,276.83,276.99,274.07,94.89M,-0.84%
6-Mar-19,277.33,279.15,279.16,276.97,75.04M,-0.61%
5-Mar-19,279.02,279.54,279.76,278.41,59.11M,-0.14%
4-Mar-19,279.4,281.6,281.87,276.84,106.49M,-0.36%
1-Mar-19,280.42,280.44,280.88,278.82,78.88M,0.62%
28-Feb-19,278.68,278.96,279.45,278.32,69.27M,-0.19%
27-Feb-19,279.2,278.52,279.59,277.48,56.92M,-0.04%
26-Feb-19,279.32,279.13,280.3,278.9,56.84M,-0.07%
25-Feb-19,279.52,280.73,281.31,279.43,69.03M,0.14%
22-Feb-19,279.14,278.11,279.36,277.4,78.11M,0.62%
21-Feb-19,277.42,277.7,278.1,276.35,64.21M,-0.36%
20-Feb-19,278.41,277.81,278.92,277.25,76.61M,0.20%
19-Feb-19,277.85,276.48,278.58,276.47,59.12M,0.17%
15-Feb-19,277.37,276.36,277.41,276.13,97.09M,1.09%
14-Feb-19,274.38,273.78,275.64,272.87,83.23M,-0.22%
13-Feb-19,274.99,275.03,275.93,274.56,65.28M,0.32%
12-Feb-19,274.1,272.42,274.52,272.34,72.27M,1.29%
11-Feb-19,270.62,271.2,271.49,270.03,68.02M,0.06%
8-Feb-19,270.47,268.75,270.58,267.83,75.79M,0.12%
7-Feb-19,270.14,270.94,271.55,268.29,95.48M,-0.95%
6-Feb-19,272.74,272.79,273.34,271.92,58.35M,-0.13%
5-Feb-19,273.1,272.44,273.44,271.88,79.55M,0.42%
4-Feb-19,271.96,270.11,272.03,269.36,60.74M,0.70%
